,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１区
,,開票所名,,,,計,大阪市中央区,大阪市西区,大阪市港区,大阪市天王寺区,大阪市浪速区,大阪市東成区
,,開票所名,,,,計,高槻市,島本町
,,有権者数,,,,320990,294749,26241
,,投票率,(％),,,63.32,62.89,68.15

,,投票者数,,,,203239,185357,17882
,,無効票＋他,,,,2521,2284,237
,,有効票,,,,200718,183073,17645

当,重複,池下卓,維新,新,46歳,80932,74589,6343
,,得票率,(％),,,40.32,40.74,35.95
,重複,辻元清美,立民,前,61歳,66943,60103,6840
,,得票率,(％),,,33.35,32.83,38.76
,重複,大隈和英,自民,前,52歳,52843,48381,4462
,,得票率,(％),,,26.33,26.43,25.29


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１１区
,,開票所名,,,,計,枚方市,交野市
,,有権者数,,,,398749,334060,64689
,,投票率,(％),,,60.57,59.91,64.02

,,投票者数,,,,241534,200123,41411
,,無効票＋他,,,,4939,4114,825
,,有効票,,,,236595,196009,40586

当,重複,中司宏,維新,新,65歳,105746,88986,16760
,,得票率,(％),,,44.69,45.40,41.30
,重複,佐藤ゆかり,自民,前,60歳,70568,58453,12115
,,得票率,(％),,,29.83,29.82,29.85
,重複,平野博文,立民,前,72歳,60281,48570,11711
,,得票率,(％),,,25.48,24.78,28.85


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１２区
,,開票所名,,,,計,寝屋川市,大東市,四條畷市
,,有権者数,,,,339395,194317,99067,46011
,,投票率,(％),,,55.00,55.94,52.76,55.87

,,投票者数,,,,186673,108695,52272,25706
,,無効票＋他,,,,3022,1780,816,426
,,有効票,,,,183651,106915,51456,25280

当,重複,藤田文武,維新,前,40歳,94003,53999,26538,13466
,,得票率,(％),,,51.19,50.51,51.57,53.27
,重複,北川晋平,自民,新,34歳,59304,34994,16475,7835
,,得票率,(％),,,32.29,32.73,32.02,30.99
,重複,宇都宮優子,立民,新,45歳,17730,10471,4783,2476
,,得票率,(％),,,9.65,9.79,9.30,9.79
,,松尾正利,共産,新,62歳,12614,7451,3660,1503
,,得票率,(％),,,6.87,6.97,7.11,5.95


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１３区
,,開票所名,,,,計,東大阪市
,,有権者数,,,,400235,400235
,,投票率,(％),,,53.43,53.43

,,投票者数,,,,213833,213833
,,無効票＋他,,,,3673,3673
,,有効票,,,,210160,210160

当,重複,岩谷良平,維新,新,41歳,101857,101857
,,得票率,(％),,,48.47,48.47
,重複,宗清皇一,自民,前,51歳,85321,85321
,,得票率,(％),,,40.60,40.60
,,神野淳一,共産,新,45歳,22982,22982
,,得票率,(％),,,10.94,10.94


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１４区
,,開票所名,,,,計,八尾市,柏原市,羽曳野市,藤井寺市
,,有権者数,,,,421826,217820,57414,92913,53679
,,投票率,(％),,,55.28,55.80,54.71,53.45,56.93

,,投票者数,,,,233182,121540,31414,49666,30562
,,無効票＋他,,,,6299,3074,729,1536,960
,,有効票,,,,226883,118466,30685,48130,29602

当,重複,青柳仁士,維新,新,42歳,126307,65504,17496,26852,16455
