,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１区
,,開票所名,,,,計,横浜市中区,横浜市磯子区,横浜市金沢区
,,開票所名,,,,計,横浜市保土ケ谷区,横浜市旭区
,,有権者数,,,,381141,172985,208156
,,投票率,(％),,,55.88,55.60,56.11

,,投票者数,,,,212981,96177,116804
,,無効票＋他,,,,4482,2268,2214
,,有効票,,,,208499,93909,114590

当,重複,古川直季,自民,新,53歳,92405,38899,53506
,,得票率,(％),,,44.32,41.42,46.69
,重複,青柳陽一郎,立民,前,52歳,87880,41150,46730
,,得票率,(％),,,42.15,43.82,40.78
,重複,串田誠一,維新,前,63歳,28214,13860,14354
,,得票率,(％),,,13.53,14.76,12.53


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川７区
,,開票所名,,,,計,横浜市港北区,横浜市都筑区７区
,,有権者数,,,,449449,294697,154752
,,投票率,(％),,,57.58,57.24,58.23

,,投票者数,,,,258806,168697,90109
,,無効票＋他,,,,5412,3658,1754
,,有効票,,,,253394,165039,88355

当,重複,鈴木馨祐,自民,前,44歳,128870,83308,45562
,,得票率,(％),,,50.86,50.48,51.57
,重複,中谷一馬,立民,前,38歳,124524,81731,42793
,,得票率,(％),,,49.14,49.52,48.43


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川８区
,,開票所名,,,,計,横浜市緑区,横浜市青葉区,横浜市都筑区８区
,,有権者数,,,,427843,150820,258638,18385
,,投票率,(％),,,59.37,56.55,60.83,61.89

,,投票者数,,,,253990,85285,157327,11378
,,無効票＋他,,,,5102,1735,3131,236
,,有効票,,,,248888,83550,154196,11142

当,重複,江田憲司,立民,前,65歳,130925,43686,81224,6015
,,得票率,(％),,,52.60,52.29,52.68,53.98
,重複,三谷英弘,自民,前,45歳,117963,39864,72972,5127
,,得票率,(％),,,47.40,47.71,47.32,46.02


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川９区
,,開票所名,,,,計,川崎市多摩区・宮前区,川崎市麻生区
,,有権者数,,,,338241,189538,148703
,,投票率,(％),,,59.47,57.02,62.59

,,投票者数,,,,201148,108081,93067
,,無効票＋他,,,,3404,2005,1399
,,有効票,,,,197744,106076,91668

当,重複,笠浩史,立民,前,56歳,83847,41971,41876
,,得票率,(％),,,42.40,39.57,45.68
,重複,中山展宏,自民,前,53歳,68918,38618,30300
,,得票率,(％),,,34.85,36.41,33.05
,重複,吉田大成,維新,新,51歳,24547,13219,11328
,,得票率,(％),,,12.41,12.46,12.36
,,斉藤温,共産,新,30歳,20432,12268,8164
,,得票率,(％),,,10.33,11.57,8.91


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１０区
,,開票所名,,,,計,川崎市川崎区,川崎市幸区,川崎市中原区１０区
,,有権者数,,,,470746,189094,140181,141471
,,投票率,(％),,,55.04,49.94,57.51,59.40

,,投票者数,,,,259095,94438,80624,84033
,,無効票＋他,,,,5817,2170,1749,1898
,,有効票,,,,253278,92268,78875,82135

当,重複,田中和徳,自民,前,72歳,104832,41760,32503,30569
,,得票率,(％),,,41.39,45.26,41.21,37.22
,重複,金村龍那,維新,新,42歳,69594,22339,22272,24983
,,得票率,(％),,,27.48,24.21,28.24,30.42
,重複,畑野君枝,共産,前,64歳,48839,18542,14789,15508
,,得票率,(％),,,19.28,20.10,18.75,18.88
,重複,鈴木敦,国民,新,32歳,30013,9627,9311,11075
,,得票率,(％),,,11.85,10.43,11.80,13.48


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１１区
,,開票所名,,,,計,横須賀市,三浦市
,,有権者数,,,,374938,337762,37176
,,投票率,(％),,,52.21,52.34,51.10

,,投票者数,,,,195764,176768,18996
,,無効票＋他,,,,9287,8523,764
,,有効票,,,,186477,168245,18232

当,,小泉進次郎,自民,前,40歳,147634,133179,14455
,,得票率,(％),,,79.17,79.16,79.28
,,林伸明,共産,新,55歳,38843,35066,3777
,,得票率,(％),,,20.83,20.84,20.72


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１２区
,,開票所名,,,,計,藤沢市,寒川町
,,有権者数,,,,406623,366108,40515
,,投票率,(％),,,56.14,56.76,50.55

,,投票者数,,,,228281,207801,20480
,,無効票＋他,,,,4356,3916,440
,,有効票,,,,223925,203885,20040

当,重複,阿部知子,立民,前,73歳,95013,86629,8384
,,得票率,(％),,,42.43,42.49,41.84
,重複,星野剛士,自民,前,58歳,91159,82214,8945
,,得票率,(％),,,40.71,40.32,44.64
,重複,水戸将史,維新,元,59歳,37753,35042,2711
,,得票率,(％),,,16.86,17.19,13.53


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１３区
,,開票所名,,,,計,大和市,海老名市,座間市１３区,綾瀬市
,,有権者数,,,,471671,200576,113051,90390,67654
,,投票率,(％),,,55.77,54.70,60.43,54.04,53.50

,,投票者数,,,,263072,109718,68315,48847,36192
,,無効票＋他,,,,8353,3369,2094,1591,1299
,,有効票,,,,254719,106349,66221,47256,34893

当,重複,太栄志,立民,新,44歳,130124,56580,33597,24059,15888
,,得票率,(％),,,51.09,53.20,50.73,50.91,45.53
,重複,甘利明,自民,前,72歳,124595,49769,32624,23197,19005
,,得票率,(％),,,48.91,46.80,49.27,49.09,54.47


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１４区
,,開票所名,,,,計,相模原市緑区１４区,相模原市中央区,相模原市南区１４区
,,有権者数,,,,460744,86692,226627,147425
,,投票率,(％),,,56.02,55.76,54.06,59.18

,,投票者数,,,,258091,48340,122509,87242
,,無効票＋他,,,,6621,1264,3187,2170
,,有効票,,,,251470,47076,119322,85072

当,重複,赤間二郎,自民,前,53歳,135197,23926,66617,44654
,,得票率,(％),,,53.76,50.82,55.83,52.49
,重複,長友克洋,立民,新,50歳,116273,23150,52705,40418
,,得票率,(％),,,46.24,49.18,44.17,47.51


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１５区
,,開票所名,,,,計,平塚市,茅ヶ崎市,大磯町,二宮町
,,有権者数,,,,473497,215740,205296,27986,24475
,,投票率,(％),,,57.32,55.31,58.24,61.20,62.99

,,投票者数,,,,271428,119322,119563,17127,15416
,,無効票＋他,,,,6036,2512,2838,363,323
,,有効票,,,,265392,116810,116725,16764,15093

当,重複,河野太郎,自民,前,58歳,210515,95687,89993,13113,11722
,,得票率,(％),,,79.32,81.92,77.10,78.22,77.67
,重複,佐々木克己,社民,新,66歳,46312,17518,22752,3126,2916
,,得票率,(％),,,17.45,15.00,19.49,18.65,19.32
,,渡辺麻里子,Ｎ党,新,45歳,8565,3605,3980,525,455
,,得票率,(％),,,3.23,3.09,3.41,3.13,3.01


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１６区
,,開票所名,,,,計,相模原市緑区１６区,相模原市南区１６区,厚木市,伊勢原市,座間市１６区,愛川町,清川村
,,有権者数,,,,466042,55498,86565,185485,83754,20143,32129,2468
,,投票率,(％),,,55.35,58.12,55.04,54.18,57.72,52.61,52.86,66.82

,,投票者数,,,,257964,32256,47644,100493,48342,10598,16982,1649
,,無効票＋他,,,,6010,721,1270,2222,1063,296,401,37
,,有効票,,,,251954,31535,46374,98271,47279,10302,16581,1612

当,重複,後藤祐一,立民,前,52歳,137558,17631,26376,53764,24917,5406,8725,739
,,得票率,(％),,,54.60,55.91,56.88,54.71,52.70,52.48,52.62,45.84
,重複,義家弘介,自民,前,50歳,114396,13904,19998,44507,22362,4896,7856,873
,,得票率,(％),,,45.40,44.09,43.12,45.29,47.30,47.52,47.38,54.16


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１７区
,,開票所名,,,,計,小田原市,秦野市,南足柄市,中井町,大井町,松田町,山北町,開成町,箱根町,真鶴町,湯河原町
,,有権者数,,,,424659,161187,134912,35366,7761,14615,9444,8703,14929,9777,6343,21622
,,投票率,(％),,,56.98,55.45,55.67,59.57,58.99,56.66,61.26,67.77,63.38,52.78,62.90,61.34

,,投票者数,,,,241966,89371,75109,21068,4578,8281,5785,5898,9462,5160,3990,13264
,,無効票＋他,,,,4643,1686,1576,339,75,159,100,88,188,98,74,260
,,有効票,,,,237323,87685,73533,20729,4503,8122,5685,5810,9274,5062,3916,13004

当,重複,牧島かれん,自民,前,45歳,131284,48047,40828,11582,2787,4761,3185,3371,5098,3012,2088,6525
,,得票率,(％),,,55.32,54.80,55.52,55.87,61.89,58.62,56.02,58.02,54.97,59.50,53.32,50.18
,重複,神山洋介,立民,元,46歳,89837,33814,27596,7837,1399,2849,2190,2146,3703,1292,1520,5491
,,得票率,(％),,,37.85,38.56,37.53,37.81,31.07,35.08,38.52,36.94,39.93,25.52,38.82,42.23
,,山田正,共産,新,70歳,16202,5824,5109,1310,317,512,310,293,473,758,308,988
,,得票率,(％),,,6.83,6.64,6.95,6.32,7.04,6.30,5.45,5.04,5.10,14.97,7.87,7.60


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,神奈川１８区
,,開票所名,,,,計,川崎市高津区・中原区,川崎市宮前区１８区
,,有権者数,,,,451301,266091,185210
,,投票率,(％),,,57.25,56.72,58.01

,,投票者数,,,,258351,150915,107436
,,無効票＋他,,,,6034,3648,2386
,,有効票,,,,252317,147267,105050

当,重複,山際大志郎,自民,前,53歳,120365,69904,50461
,,得票率,(％),,,47.70,47.47,48.04
,重複,三村和也,立民,元,46歳,90390,52812,37578
,,得票率,(％),,,35.82,35.86,35.77
,重複,横田光弘,維新,新,63歳,41562,24551,17011
,,得票率,(％),,,16.47,16.67,16.19


