,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,京都１区
,,開票所名,,,,計,京都市北区,京都市上京区,京都市中京区,京都市下京区,京都市南区
,,無効票＋他,,,,5598,2333,1827,805,415,218
,,有効票,,,,217550,86316,65558,41145,16618,7913

当,,北神圭朗,無,元,54歳,96172,36826,29181,19029,7140,3996
,,得票率,(％),,,44.21,42.66,44.51,46.25,42.97,50.50
,重複,田中英之,自民,前,51歳,80775,30918,23872,16404,6805,2776
,,得票率,(％),,,37.13,35.82,36.41,39.87,40.95,35.08
,,吉田幸一,共産,新,47歳,40603,18572,12505,5712,2673,1141
,,得票率,(％),,,18.66,21.52,19.07,13.88,16.08,14.42


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,京都５区
,,開票所名,,,,計,福知山市,舞鶴市,綾部市,宮津市,京丹後市,伊根町,与謝野町
,,有権者数,,,,238618,63505,67349,27689,14969,45426,1776,17904
,,投票率,(％),,,59.49,56.61,58.43,59.36,63.48,62.05,76.24,62.47

,,投票者数,,,,141965,35953,39349,16436,9502,28186,1354,11185
,,無効票＋他,,,,2885,684,890,309,184,621,26,171
,,有効票,,,,139080,35269,38459,16127,9318,27565,1328,11014

当,重複,本田太郎,自民,前,47歳,68693,16861,17966,7662,5583,13511,873,6237
,,得票率,(％),,,49.39,47.81,46.71,47.51,59.92,49.02,65.74,56.63
,重複,山本和嘉子,立民,前,53歳,32108,10308,6816,4046,1963,6290,177,2508
,,得票率,(％),,,23.09,29.23,17.72,25.09,21.07,22.82,13.33,22.77
,,井上一徳,無,前,59歳,21904,3977,9837,1981,656,4220,81,1152
,,得票率,(％),,,15.75,11.28,25.58,12.28,7.04,15.31,6.10,10.46
,,山内健,共産,新,53歳,16375,4123,3840,2438,1116,3544,197,1117
,,得票率,(％),,,11.77,11.69,9.98,15.12,11.98,12.86,14.83,10.14


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,京都６区
,,開票所名,,,,計,宇治市,城陽市,八幡市,京田辺市,木津川市,久御山町,井手町,宇治田原町,笠置町,和束町,精華町,南山城村
,,有権者数,,,,460284,153927,64238,58479,56807,63170,12690,6145,7486,1153,3359,30484,2346
,,投票率,(％),,,56.81,54.71,54.10,54.71,58.99,59.84,55.67,58.54,62.53,68.95,70.32,62.44,71.14

,,投票者数,,,,261480,84220,34754,31991,33513,37798,7065,3597,4681,795,2362,19035,1669
,,無効票＋他,,,,4878,1755,580,585,579,643,151,57,84,23,39,339,43
,,有効票,,,,256602,82465,34174,31406,32934,37155,6914,3540,4597,772,2323,18696,1626

当,重複,山井和則,立民,前,59歳,116111,38883,16577,12509,14387,16546,2790,1558,2088,424,1147,8519,683
,,得票率,(％),,,45.25,47.15,48.51,39.83,43.68,44.53,40.35,44.01,45.42,54.92,49.38,45.57,42.00
,,清水鴻一郎,自民,元,75歳,82004,26439,10583,9466,10726,11231,2690,1514,1771,270,914,5753,647
,,得票率,(％),,,31.96,32.06,30.97,30.14,32.57,30.23,38.91,42.77,38.53,34.97,39.35,30.77,39.79
,重複,中嶋秀樹,維新,新,50歳,58487,17143,7014,9431,7821,9378,1434,468,738,78,262,4424,296
,,得票率,(％),,,22.79,20.79,20.52,30.03,23.75,25.24,20.74,13.22,16.05,10.10,11.28,23.66,18.20


